#Fri Feb 25 14:08:15 GMT 2022
88=60.0039,59.9974,60.0006,60.0034,60.0042,59.9982
89=60.0039,59.9974,60.0006,60.0034,60.0042,59.9982
90=60.0039,59.9974,60.0006,60.0034,60.0042,59.9982
91=60.0039,59.9974,60.0006,60.0034,60.0042,59.9982
92=60.001,60.0011,60.0004,60.0029,60.0056,59.9991
93=60.001,60.0011,60.0004,60.0029,60.0056,59.9991
94=60.001,60.0011,60.0004,60.0029,60.0056,59.9991
95=60.001,60.0011,60.0004,60.0029,60.0056,59.9991
96=60.0022,60.0,60.001,60.0043,60.0011,59.9981
97=60.0022,60.0,60.001,60.0043,60.0011,59.9981
98=60.0022,60.0,60.001,60.0043,60.0011,59.9981
99=60.0022,60.0,60.001,60.0043,60.0011,59.9981
100=60.0032,60.0015,60.0036,60.0036,60.0012,59.9994
101=60.0032,60.0015,60.0036,60.0036,60.0012,59.9994
102=60.0032,60.0015,60.0036,60.0036,60.0012,59.9994
103=60.0032,60.0015,60.0036,60.0036,60.0012,59.9994
104=60.0021,60.0004,60.0033,60.0042,60.0032,59.9987
105=60.0021,60.0004,60.0033,60.0042,60.0032,59.9987
106=60.0021,60.0004,60.0033,60.0042,60.0032,59.9987
107=60.0021,60.0004,60.0033,60.0042,60.0032,59.9987
108=60.0052,60.0019,60.0027,60.0035,60.001,60.0002
109=60.0052,60.0019,60.0027,60.0035,60.001,60.0002
110=60.0052,60.0019,60.0027,60.0035,60.001,60.0002
111=60.0052,60.0019,60.0027,60.0035,60.001,60.0002
112=60.0008,60.001,60.0009,60.0042,59.9989,60.0004
113=60.0008,60.001,60.0009,60.0042,59.9989,60.0004
114=60.0008,60.001,60.0009,60.0042,59.9989,60.0004
115=60.0008,60.001,60.0009,60.0042,59.9989,60.0004
116=60.0033,60.0014,60.0028,60.0031,59.9989,60.0006
117=60.0033,60.0014,60.0028,60.0031,59.9989,60.0006
118=60.0033,60.0014,60.0028,60.0031,59.9989,60.0006
119=60.0033,60.0014,60.0028,60.0031,59.9989,60.0006
120=60.0042,60.0006,60.003,60.0043,60.0035,60.0013
121=60.0042,60.0006,60.003,60.0043,60.0035,60.0013
122=60.0042,60.0006,60.003,60.0043,60.0035,60.0013
123=60.0042,60.0006,60.003,60.0043,60.0035,60.0013
124=60.0017,60.0003,60.0015,60.0041,60.0035,59.9991
125=60.0017,60.0003,60.0015,60.0041,60.0035,59.9991
126=60.0017,60.0003,60.0015,60.0041,60.0035,59.9991
127=60.0017,60.0003,60.0015,60.0041,60.0035,59.9991
128=60.0005,59.9978,60.0009,60.0013,60.0048,59.9983
129=60.0005,59.9978,60.0009,60.0013,60.0048,59.9983
130=60.0005,59.9978,60.0009,60.0013,60.0048,59.9983
131=60.0005,59.9978,60.0009,60.0013,60.0048,59.9983
132=60.0006,59.9997,60.0027,60.0027,60.0018,59.9987
